sample_id,state_n,position_fraction_of_L,notes
1,1,0.47,illustrative simulated measurement
2,1,0.52,illustrative simulated measurement
3,1,0.39,illustrative simulated measurement
4,1,0.61,illustrative simulated measurement
5,2,0.22,illustrative simulated measurement
6,2,0.29,illustrative simulated measurement
7,2,0.72,illustrative simulated measurement
8,2,0.78,illustrative simulated measurement
9,3,0.16,illustrative simulated measurement
10,3,0.51,illustrative simulated measurement
11,3,0.84,illustrative simulated measurement
