source,organization,primary_role,url
MIT Classical Mechanics II,MIT OpenCourseWare,broad theoretical treatment of classical mechanics,https://ocw.mit.edu/courses/8-223-classical-mechanics-ii-january-iap-2017/
MIT Classical Mechanics II Lecture Notes,MIT OpenCourseWare,Lagrangian workflow Hamiltonian Poisson brackets canonical transformations,https://ocw.mit.edu/courses/8-223-classical-mechanics-ii-january-iap-2017/pages/lecture-notes/
MIT Introduction to Hamiltonian Mechanics,MIT OpenCourseWare,Hamiltonian dynamics lecture note,https://ocw.mit.edu/courses/8-223-classical-mechanics-ii-january-iap-2017/resources/mit8_223iap17_lec15/
MIT Introduction to Lagrange,MIT OpenCourseWare,generalized coordinates and Lagrange examples,https://ocw.mit.edu/courses/2-003sc-engineering-dynamics-fall-2011/resources/lecture-15-introduction-to-lagrange-with-examples/
Noether Invariant Variation Problems,arXiv,English translation of Noether variational symmetry paper,https://arxiv.org/abs/physics/0503066
Hamilton General Method in Dynamics,Royal Society,primary Hamilton dynamics source,https://royalsocietypublishing.org/doi/10.1098/rstl.1834.0017
Hamilton Second Essay,Royal Society,primary Hamilton dynamics source,https://royalsocietypublishing.org/doi/10.1098/rstl.1835.0009
Lagrange Mecanique Analytique,Internet Archive,primary source for analytical mechanics,https://archive.org/details/mcaniqueanalyt01lagr
BIPM SI Brochure,BIPM,official SI unit framework,https://www.bipm.org/en/si-brochure-9
NIST SI Guide,NIST,SI units and derived units,https://physics.nist.gov/cuu/pdf/sp811.pdf
